,Match_Id,Batsman,batting_team,bowling_team,balls_faced,sixes,fours,runs,strike_rate,dismissal_type
51,225,Yuvraj Singh,Kings XI Punjab,Deccan Chargers,20,1,1,20,100.0,caught
52,228,Yuvraj Singh,Kings XI Punjab,Chennai Super Kings,4,0,0,1,25.0,lbw
53,239,Yuvraj Singh,Pune Warriors,Kings XI Punjab,15,1,2,21,140.0,Not Out
54,244,Yuvraj Singh,Pune Warriors,Kochi Tuskers Kerala,12,0,0,8,66.67,caught
55,250,Yuvraj Singh,Pune Warriors,Delhi Capitals,32,5,4,66,206.25,Not Out
56,254,Yuvraj Singh,Pune Warriors,Mumbai Indians,2,0,0,0,0.0,caught
57,262,Yuvraj Singh,Pune Warriors,Chennai Super Kings,43,0,2,34,79.07,caught
58,264,Yuvraj Singh,Pune Warriors,Chennai Super Kings,43,4,3,62,144.19,Not Out
59,268,Yuvraj Singh,Pune Warriors,Royal Challengers Bangalore,23,3,2,41,178.26,caught
60,271,Yuvraj Singh,Pune Warriors,Rajasthan Royals,11,0,0,7,63.64,Not Out
61,277,Yuvraj Singh,Pune Warriors,Mumbai Indians,16,2,1,20,125.0,caught
62,284,Yuvraj Singh,Pune Warriors,Kings XI Punjab,15,2,5,35,233.33,caught and bowled
63,286,Yuvraj Singh,Pune Warriors,Deccan Chargers,6,0,0,2,33.33,bowled
64,295,Yuvraj Singh,Pune Warriors,Deccan Chargers,17,1,3,23,135.29,caught
65,298,Yuvraj Singh,Pune Warriors,Kolkata Knight Riders,26,0,2,24,92.31,caught
66,384,Yuvraj Singh,Pune Warriors,Sunrisers Hyderabad,5,0,0,2,40.0,stumped
67,393,Yuvraj Singh,Pune Warriors,Rajasthan Royals,23,2,2,28,121.74,Not Out
68,395,Yuvraj Singh,Pune Warriors,Mumbai Indians,16,2,1,24,150.0,caught
69,409,Yuvraj Singh,Pune Warriors,Kings XI Punjab,24,3,2,34,141.67,caught
70,411,Yuvraj Singh,Pune Warriors,Royal Challengers Bangalore,14,0,2,16,114.29,caught
71,419,Yuvraj Singh,Pune Warriors,Delhi Capitals,24,0,4,31,129.17,caught
72,422,Yuvraj Singh,Pune Warriors,Chennai Super Kings,4,0,1,5,125.0,caught
73,426,Yuvraj Singh,Pune Warriors,Royal Challengers Bangalore,11,2,0,16,145.45,caught
74,431,Yuvraj Singh,Pune Warriors,Rajasthan Royals,11,1,1,15,136.36,caught
75,437,Yuvraj Singh,Pune Warriors,Kolkata Knight Riders,2,0,0,1,50.0,caught
76,439,Yuvraj Singh,Pune Warriors,Mumbai Indians,29,2,1,33,113.79,lbw
77,445,Yuvraj Singh,Pune Warriors,Kolkata Knight Riders,20,3,0,30,150.0,caught
78,451,Yuvraj Singh,Pune Warriors,Delhi Capitals,7,0,0,3,42.86,caught
79,459,Yuvraj Singh,Royal Challengers Bangalore,Delhi Capitals,29,5,3,52,179.31,Not Out
80,462,Yuvraj Singh,Royal Challengers Bangalore,Mumbai Indians,2,0,0,0,0.0,lbw
81,468,Yuvraj Singh,Royal Challengers Bangalore,Kolkata Knight Riders,34,1,2,31,91.18,caught
82,471,Yuvraj Singh,Royal Challengers Bangalore,Rajasthan Royals,7,0,0,3,42.86,caught
83,475,Yuvraj Singh,Royal Challengers Bangalore,Kings XI Punjab,32,1,3,35,109.38,caught
84,481,Yuvraj Singh,Royal Challengers Bangalore,Sunrisers Hyderabad,16,1,1,14,87.5,caught
85,484,Yuvraj Singh,Royal Challengers Bangalore,Mumbai Indians,10,0,0,6,60.0,Not Out
86,488,Yuvraj Singh,Royal Challengers Bangalore,Kings XI Punjab,11,0,0,3,27.27,caught
87,492,Yuvraj Singh,Royal Challengers Bangalore,Rajasthan Royals,38,7,7,83,218.42,lbw
88,495,Yuvraj Singh,Royal Challengers Bangalore,Delhi Capitals,29,9,1,68,234.48,Not Out
89,499,Yuvraj Singh,Royal Challengers Bangalore,Chennai Super Kings,9,1,0,13,144.44,Not Out
